City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
26,san quintin,MX,89.82,scattered clouds,30.48,-115.95,Old Mill Hotel
28,nueva gerona,CU,85.95,overcast clouds,21.88,-82.8,Casa de la Alegria
31,bambous virieux,MU,75.0,scattered clouds,-20.34,57.76,Casa Tia Villa
33,san antonio,US,87.01,clear sky,29.42,-98.49,Marriott Plaza San Antonio
34,sarangani,PH,84.56,overcast clouds,5.4,125.46,Ballistic Islet
35,puerto ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
38,hilo,US,78.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
40,san ignacio,BZ,84.99,scattered clouds,17.16,-89.07,Rainforest Haven Inn
42,atuona,PF,77.54,clear sky,-9.8,-139.03,Villa Enata
48,denpasar,ID,80.6,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
51,arraial do cabo,BR,75.2,overcast clouds,-22.97,-42.03,Pousada Porto Praia
52,si sa ket,TH,80.01,moderate rain,15.11,104.33,Boonsiri Boutique Hotel
55,half moon bay,US,75.0,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
64,aswan,EG,88.97,clear sky,24.09,32.91,Nuba Nile
65,butaritari,KI,79.43,overcast clouds,3.07,172.79,Isles Sunset Lodge
66,bonthe,SL,76.5,light rain,7.53,-12.51,Bonthe Holiday Village
75,makakilo city,US,80.6,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
77,grand gaube,MU,75.0,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
78,sinazongwe,ZM,84.42,clear sky,-17.26,27.46,Lakeview Lodge
88,mecca,SA,80.69,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
90,alofi,NU,75.2,light rain,-19.06,-169.92,Taloa Heights
91,lorengau,PG,82.29,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
100,kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
108,oussouye,SN,87.8,few clouds,12.48,-16.55,Auberge du Routard
113,georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
120,sangareddi,IN,78.01,overcast clouds,17.63,78.09,OYO 73247 CGR MANJEERA
121,san patricio,MX,89.6,few clouds,19.22,-104.7,Hotel Cabo Blanco
123,esmeralda,CU,89.6,scattered clouds,21.85,-78.12,campismo las palmas
125,najran,SA,77.0,clear sky,17.49,44.13,محمد هادي ال فطيح
131,maceio,BR,80.6,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
141,san pedro buenavista,MX,80.6,scattered clouds,16.08,-93.12,
152,rancho palos verdes,US,86.0,haze,33.74,-118.39,Terranea Resort
155,orange cove,US,87.01,haze,36.62,-119.31,
157,hwange,ZW,79.9,clear sky,-18.37,26.5,Hwange Colliery Guest House
161,ughelli,NG,76.59,overcast clouds,5.49,6.01,Prestige Hotel
164,piacabucu,BR,79.29,overcast clouds,-10.41,-36.43,Piaçabuçu News
166,sao filipe,CV,78.28,clear sky,14.9,-24.5,Tortuga B&B
167,edgewater,US,78.8,overcast clouds,28.99,-80.9,Islander Beach Resort
168,victoria,HK,82.99,light rain,22.29,114.16,Mini Hotel Central
169,nalut,LY,86.63,broken clouds,30.33,10.85,
171,meulaboh,ID,77.04,heavy intensity rain,4.14,96.13,Kost Pria
175,nouadhibou,MR,78.8,clear sky,20.93,-17.03,El Medina
176,boca do acre,BR,85.28,overcast clouds,-8.75,-67.4,Hotel Linhares
177,kununurra,AU,80.6,broken clouds,-15.77,128.73,Hotel Kununurra
179,ranong,TH,78.89,light rain,9.97,98.63,Tinidee Hotel@Ranong
183,omboue,GA,76.84,overcast clouds,-1.57,9.26,Hotel Olako
187,san policarpo,PH,78.28,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
189,bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
190,harper,LR,77.38,few clouds,4.38,-7.72,Screensaver
196,balaipungut,ID,78.8,overcast clouds,1.05,101.28,Swee Ann Homestay
199,trincomalee,LK,79.93,broken clouds,8.57,81.23,Welcombe Hotel
202,labelle,US,84.0,overcast clouds,26.76,-81.44,La Belle Motel
203,hithadhoo,MV,82.6,overcast clouds,-0.6,73.08,Scoop Guest House
205,bandarbeyla,SO,78.71,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
210,luganville,VU,77.0,broken clouds,-15.53,167.17,The Espiritu Hotel
215,sibu,MY,75.2,moderate rain,2.3,111.82,RH HOTEL (4 Star)
220,aracaju,BR,84.2,few clouds,-10.91,-37.07,HOTEL FÊNIX
225,naze,JP,77.0,clear sky,28.37,129.48,奄美ポートタワーホテル
226,castro,BR,76.17,clear sky,-24.79,-50.01,CHACARA BAILLY
227,quatre cocos,MU,75.0,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
232,sinnamary,GF,85.6,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
233,qandala,SO,83.89,clear sky,11.47,49.87,
236,mizdah,LY,89.55,broken clouds,31.45,12.98,محمدالمبروك الاريقط
238,faanui,PF,77.72,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
239,gigmoto,PH,80.33,clear sky,13.78,124.39,Cj's Travellers Inn
241,merauke,ID,78.1,overcast clouds,-8.47,140.33,
242,kavaratti,IN,80.89,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
246,buchanan,LR,80.6,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
253,jalpaiguri,IN,77.68,broken clouds,26.52,88.73,"CAMELOT, JALPAIGURI"
258,sur,OM,82.08,clear sky,22.57,59.53,Sur Plaza Hotel
259,boueni,YT,78.8,broken clouds,-12.9,45.08,Auberge bouloulou( inter djasmire )
264,pedernales,DO,82.4,broken clouds,18.04,-71.74,Hotel Costa Marina
278,bengkulu,ID,76.28,light rain,-3.8,102.27,Grage Hotel Bengkulu
281,wajir,KE,83.59,scattered clouds,1.75,40.06,Al- Amin lodge
283,sekoma,BW,76.48,overcast clouds,-24.4,23.88,
286,vallenar,CL,81.07,overcast clouds,-28.57,-70.76,Humacao Bed & Breakfast
290,banjar,ID,80.6,light rain,-8.19,114.97,The Hamsa Resort
295,gat,IL,78.01,clear sky,31.61,34.76,OlusHome
297,jensen beach,US,84.99,broken clouds,27.25,-80.23,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
303,mindelo,CV,84.2,few clouds,16.89,-24.98,Hotel Gaudi
306,mangrol,IN,80.4,clear sky,21.12,70.12,Hotel The Royal Honours
311,ambon,ID,75.99,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
313,patiya,BD,76.77,light rain,22.29,91.98,"Alam Building, Noaa Pokor Par, Patiya"
314,manaure,CO,84.58,overcast clouds,11.78,-72.44,Del mar vendra
318,bubaque,GW,82.08,overcast clouds,11.28,-15.83,Casa Dora - Mango Lodge
323,san jose,US,84.0,haze,37.34,-121.89,The Westin San Jose
329,lompoc,US,78.8,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
332,phaltan,IN,75.07,overcast clouds,17.98,74.43,Hotel New Vijay
343,key largo,US,87.01,overcast clouds,25.09,-80.45,Bayside Inn Key Largo
