City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,mataura,NZ,-46.19,168.86,48.99,97,17,5.99,few clouds
1,sechura,PE,-5.56,-80.82,74.26,56,33,16.11,scattered clouds
2,dikson,RU,73.51,80.55,33.17,91,100,25.52,overcast clouds
3,usinsk,RU,65.99,57.53,30.6,96,84,11.23,broken clouds
4,jablanica,BA,43.66,17.76,64.4,48,20,2.24,few clouds
5,ucluelet,CA,48.93,-125.55,61.0,100,90,4.7,overcast clouds
6,ostrovnoy,RU,68.05,39.51,43.12,88,1,18.68,clear sky
7,port elizabeth,ZA,-33.92,25.57,64.4,88,75,14.99,broken clouds
8,hermanus,ZA,-34.42,19.23,62.01,88,0,1.01,clear sky
9,torbay,CA,47.67,-52.73,51.01,81,90,11.41,overcast clouds
10,guerrero negro,MX,27.98,-114.06,93.38,21,0,7.92,clear sky
11,busselton,AU,-33.65,115.33,44.01,59,0,10.0,clear sky
12,belaya gora,RU,68.53,146.42,29.21,82,97,5.32,overcast clouds
13,caala,AO,-12.85,15.56,70.12,47,37,0.98,scattered clouds
14,clyde river,CA,70.47,-68.59,28.4,86,75,12.75,broken clouds
15,punta arenas,CL,-53.15,-70.92,53.6,54,75,28.86,broken clouds
16,bluff,NZ,-46.6,168.33,48.99,97,72,5.99,broken clouds
17,dareda,TZ,-4.22,35.55,64.04,46,6,5.14,clear sky
18,port alfred,ZA,-33.59,26.89,66.63,80,2,21.18,clear sky
19,saint-philippe,RE,-21.36,55.77,73.4,73,75,11.41,broken clouds
20,jamestown,US,42.1,-79.24,61.0,50,75,9.17,broken clouds
21,tocopilla,CL,-22.09,-70.2,67.55,48,40,13.0,scattered clouds
22,ushuaia,AR,-54.8,-68.3,53.6,46,40,19.46,scattered clouds
23,rio gallegos,AR,-51.62,-69.22,57.2,41,75,17.22,broken clouds
24,albany,US,42.6,-73.97,64.0,62,75,3.36,broken clouds
25,zhuanghe,CN,39.7,122.99,45.0,72,0,7.61,clear sky
26,san quintin,MX,30.48,-115.95,89.82,23,34,8.5,scattered clouds
27,kaitangata,NZ,-46.28,169.85,46.0,94,100,1.01,overcast clouds
28,nueva gerona,CU,21.88,-82.8,85.95,74,95,18.75,overcast clouds
29,yumen,CN,40.28,97.2,36.36,67,0,6.38,clear sky
30,plouzane,FR,48.38,-4.62,55.4,81,75,16.11,broken clouds
31,bambous virieux,MU,-20.34,57.76,75.0,83,40,8.05,scattered clouds
32,hobart,AU,-42.88,147.33,44.6,93,90,4.7,moderate rain
33,san antonio,US,29.42,-98.49,87.01,45,1,3.36,clear sky
34,sarangani,PH,5.4,125.46,84.56,74,100,12.03,overcast clouds
35,puerto ayora,EC,-0.74,-90.35,77.0,57,49,20.8,scattered clouds
36,beian,NO,63.66,9.57,59.0,67,75,23.04,broken clouds
37,mareeba,AU,-17.0,145.43,71.6,73,100,8.05,overcast clouds
38,hilo,US,19.73,-155.09,78.8,54,1,3.36,clear sky
39,nikolskoye,RU,59.7,30.79,52.0,81,40,11.18,light intensity shower rain
40,san ignacio,BZ,17.16,-89.07,84.99,65,40,11.41,scattered clouds
41,kaeo,NZ,-35.1,173.78,50.0,93,0,1.74,clear sky
42,atuona,PF,-9.8,-139.03,77.54,75,0,18.19,clear sky
43,ribeira grande,PT,38.52,-28.7,73.4,69,40,11.41,scattered clouds
44,new norfolk,AU,-42.78,147.06,44.01,91,100,1.99,light rain
45,ler,SS,8.3,30.14,73.09,87,94,3.0,overcast clouds
46,souillac,MU,-20.52,57.52,73.4,83,40,8.05,scattered clouds
47,kovdor,RU,67.57,30.48,38.84,97,12,3.31,few clouds
48,denpasar,ID,-8.65,115.22,80.6,100,40,5.82,scattered clouds
49,vaini,TO,-21.2,-175.2,71.6,94,90,12.75,light intensity shower rain
50,rikitea,PF,-23.12,-134.97,73.45,76,0,14.92,clear sky
51,arraial do cabo,BR,-22.97,-42.03,75.2,78,90,8.05,overcast clouds
52,si sa ket,TH,15.11,104.33,80.01,86,92,3.04,moderate rain
53,kiomboi,TZ,-4.27,34.37,73.56,21,0,9.26,clear sky
54,fortuna,US,40.6,-124.16,55.4,100,90,3.36,overcast clouds
55,half moon bay,US,37.46,-122.43,75.0,87,20,14.99,haze
56,saint-jean-port-joli,CA,47.22,-70.27,50.0,65,6,10.0,clear sky
57,coquimbo,CL,-29.95,-71.34,62.6,42,97,13.87,overcast clouds
58,ahipara,NZ,-35.17,173.17,53.51,81,0,3.04,clear sky
59,paamiut,GL,61.99,-49.67,34.05,85,26,12.93,scattered clouds
60,smolenka,RU,52.14,113.5,26.6,86,0,6.71,clear sky
61,bud,US,39.45,-86.18,52.0,76,90,5.82,overcast clouds
62,mar del plata,AR,-38.0,-57.56,51.01,70,100,10.29,light rain
63,yulara,AU,-25.24,130.99,53.6,76,90,17.22,overcast clouds
64,aswan,EG,24.09,32.91,88.97,12,0,8.72,clear sky
65,butaritari,KI,3.07,172.79,79.43,77,100,4.12,overcast clouds
66,bonthe,SL,7.53,-12.51,76.5,89,99,8.1,light rain
67,baykit,RU,61.67,96.37,41.88,88,100,5.88,light rain
68,ponta do sol,PT,32.67,-17.1,71.6,73,75,10.29,broken clouds
69,beringovskiy,RU,63.05,179.32,32.92,88,95,12.8,overcast clouds
70,geraldton,AU,-28.77,114.6,46.4,87,0,8.05,clear sky
71,khatanga,RU,71.97,102.5,21.97,97,100,18.99,light snow
72,groningen,NL,53.25,6.75,53.6,71,0,11.41,clear sky
73,saskylakh,RU,71.92,114.08,20.41,95,100,9.78,overcast clouds
74,batemans bay,AU,-35.72,150.18,63.0,82,0,6.85,clear sky
75,makakilo city,US,21.35,-158.09,80.6,65,1,4.7,clear sky
76,bredasdorp,ZA,-34.53,20.04,59.0,87,0,2.24,clear sky
77,grand gaube,MU,-20.01,57.66,75.0,73,12,1.99,few clouds
78,sinazongwe,ZM,-17.26,27.46,84.42,33,0,4.05,clear sky
79,srednekolymsk,RU,67.45,153.68,28.78,88,100,4.25,overcast clouds
80,salamiyah,SY,35.01,37.05,65.03,79,0,7.16,clear sky
81,mujiayingzi,CN,42.12,118.78,38.1,72,0,9.71,clear sky
82,noshiro,JP,40.2,140.02,64.24,89,100,18.68,light rain
83,tuktoyaktuk,CA,69.45,-133.04,35.6,100,90,17.22,mist
84,sitka,US,57.05,-135.33,53.6,71,90,20.8,light rain
85,cape town,ZA,-33.93,18.42,64.0,82,0,6.93,clear sky
86,bereda,ES,43.27,-7.54,55.99,99,78,3.0,light rain
87,poum,NC,-20.23,164.02,71.04,78,0,16.49,clear sky
88,mecca,SA,21.43,39.83,80.69,69,0,0.54,clear sky
89,barrow,US,71.29,-156.79,33.8,86,90,9.17,overcast clouds
90,alofi,NU,-19.06,-169.92,75.2,88,100,12.75,light rain
91,lorengau,PG,-2.02,147.27,82.29,77,23,8.28,few clouds
92,leningradskiy,RU,69.38,178.42,27.73,95,99,12.24,overcast clouds
93,esperance,AU,-33.87,121.9,48.2,93,75,9.17,broken clouds
94,richards bay,ZA,-28.78,32.04,68.77,90,100,11.54,light rain
95,tiksi,RU,71.69,128.87,22.03,95,59,16.87,broken clouds
96,saint-augustin,CA,51.23,-58.65,46.4,67,100,7.47,overcast clouds
97,nanortalik,GL,60.14,-45.24,35.71,83,3,8.84,clear sky
98,saint-joseph,RE,-21.37,55.62,73.4,73,75,11.41,broken clouds
99,alice springs,AU,-23.7,133.88,57.2,93,90,12.75,light rain
100,kapaa,US,22.08,-159.32,82.4,69,40,12.75,scattered clouds
101,at-bashi,KG,41.17,75.81,43.02,54,100,0.07,overcast clouds
102,baraboo,US,43.47,-89.74,52.0,49,1,5.82,clear sky
103,kruisfontein,ZA,-34.0,24.73,64.0,83,0,7.05,clear sky
104,uyuni,BO,-20.46,-66.83,65.03,28,1,11.21,clear sky
105,lagoa,PT,39.05,-27.98,69.12,84,0,9.84,clear sky
106,mahebourg,MU,-20.41,57.7,73.4,83,40,8.05,scattered clouds
107,poya,NC,-21.35,165.15,65.39,84,32,6.8,scattered clouds
108,oussouye,SN,12.48,-16.55,87.8,74,20,4.7,few clouds
109,elliot,ZA,-31.33,27.85,53.37,86,21,4.41,few clouds
110,comodoro rivadavia,AR,-45.87,-67.5,71.6,13,0,17.22,clear sky
111,east london,ZA,-33.02,27.91,66.2,88,75,13.87,broken clouds
112,ketchikan,US,55.34,-131.65,53.6,93,90,11.41,overcast clouds
113,georgetown,MY,5.41,100.34,80.6,88,20,2.21,few clouds
114,sorland,NO,67.67,12.69,53.6,81,84,19.46,broken clouds
115,avarua,CK,-21.21,-159.78,71.6,88,100,6.93,light rain
116,chuy,UY,-33.7,-53.46,56.53,75,100,15.9,overcast clouds
117,carnarvon,AU,-24.87,113.63,60.8,67,0,18.34,clear sky
118,sangar,RU,63.92,127.47,30.22,99,92,1.25,overcast clouds
119,asosa,ET,10.07,34.53,62.28,83,100,2.51,overcast clouds
120,sangareddi,IN,17.63,78.09,78.01,58,100,4.59,overcast clouds
121,san patricio,MX,19.22,-104.7,89.6,75,20,11.41,few clouds
122,provideniya,RU,64.38,-173.3,33.57,87,27,7.65,scattered clouds
123,esmeralda,CU,21.85,-78.12,89.6,59,40,8.05,scattered clouds
124,tessalit,ML,20.2,1.01,93.54,24,49,1.72,scattered clouds
125,najran,SA,17.49,44.13,77.0,22,0,2.24,clear sky
126,dunboyne,IE,53.4,-6.47,51.8,100,75,2.24,broken clouds
127,keflavik,IS,64.0,-22.56,44.6,80,40,6.93,scattered clouds
128,norman wells,CA,65.28,-126.83,48.2,81,90,6.93,overcast clouds
129,xining,CN,36.62,101.77,41.68,62,100,1.9,overcast clouds
130,itaituba,BR,-4.28,-55.98,100.4,30,87,3.2,overcast clouds
131,maceio,BR,-9.67,-35.74,80.6,65,40,12.75,scattered clouds
132,cabo san lucas,MX,22.89,-109.91,91.4,52,5,8.05,clear sky
133,gazanjyk,TM,39.24,55.52,62.58,27,63,10.85,broken clouds
134,college,US,64.86,-147.8,46.99,80,75,2.24,broken clouds
135,acatlan,MX,20.15,-98.45,65.01,29,0,10.96,clear sky
136,cherskiy,RU,68.75,161.3,26.26,94,99,8.3,overcast clouds
137,lebu,CL,-37.62,-73.65,52.48,75,7,14.54,clear sky
138,yelizovo,RU,53.19,158.38,42.8,100,90,6.71,light intensity shower rain
139,thompson,CA,55.74,-97.86,44.6,93,90,9.17,light rain
140,moron,AR,-34.65,-58.62,60.01,63,100,5.99,overcast clouds
141,san pedro buenavista,MX,16.08,-93.12,80.6,57,40,12.75,scattered clouds
142,fairbanks,US,64.84,-147.72,46.99,93,1,3.36,clear sky
143,halkirk,CA,52.28,-112.15,62.01,62,100,1.01,overcast clouds
